City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,matamba,-8.9833,33.9667,15.75,97,99,0.77,TZ,1706545251
83,okhotsk,59.3833,143.3,-25.56,80,7,3.78,RU,1706545251
84,gourin,48.1387,-3.6076,13.57,82,79,5.04,FR,1706545251
85,usinsk,65.9939,57.5281,-12.18,94,93,8.05,RU,1706545252
86,kargasok,59.0556,80.8572,-16.69,96,92,4.02,RU,1706545252
87,oyama,36.3,139.8,8.66,53,40,1.38,JP,1706545252
88,yuzhno-kurilsk,44.0306,145.8556,-2.57,83,18,1.38,RU,1706545252
89,coracora,-15.0333,-73.7833,17.47,55,85,3.7,PE,1706545252
90,nuku'alofa,-21.1333,-175.2,23.19,94,75,1.03,TO,1706545252
91,bardai,11.65,7.2333,29.72,10,4,5.49,NG,1706545252
92,isafjordur,66.0755,-23.124,-1.98,93,100,1.54,IS,1706545253
93,alice springs,-23.7,133.8833,28.45,13,71,0.89,AU,1706545120
94,anqing,30.5092,117.0506,7.74,74,100,1.0,CN,1706545253
95,kavaratti,10.5669,72.642,27.85,65,27,3.43,IN,1706545253
96,lompoc,34.6391,-120.4579,18.66,71,0,5.66,US,1706545253
97,qaqortoq,60.7167,-46.0333,-20.42,71,65,1.41,GL,1706545253
98,jamestown,42.097,-79.2353,1.77,97,100,3.6,US,1706545237
99,lebu,-37.6167,-73.65,18.48,60,62,5.51,CL,1706545253
100,hohhot,40.8106,111.6522,-14.84,72,0,3.0,CN,1706545253
101,kapuskasing,49.4169,-82.4331,-1.95,86,100,3.6,CA,1706545204
102,zhezqazghan,47.7833,67.7667,-15.0,88,92,3.73,KZ,1706545254
103,nong kung si,16.65,103.3,25.87,59,57,2.41,TH,1706545254
104,nemuro,43.3236,145.575,-1.21,84,17,2.45,JP,1706545254
105,sena madureira,-9.0656,-68.6569,28.59,75,95,1.48,BR,1706545254
106,dwarka,22.2394,68.9678,22.45,78,7,4.45,IN,1706545254
107,gidam,18.9833,81.4,18.9,37,35,0.26,IN,1706545254
108,puerto ayora,-0.7393,-90.3518,30.98,81,100,5.03,EC,1706545254
109,hammerfest,70.6634,23.6821,2.25,75,75,30.87,NO,1706545254
110,yamada,39.4667,141.95,2.56,81,22,2.39,JP,1706545255
111,holualoa,19.6228,-155.9522,19.91,88,0,4.63,US,1706545013
112,hermosillo,29.0667,-110.9667,22.14,34,40,1.34,MX,1706545250
113,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1706545255
114,college,64.8569,-147.8028,-31.03,62,100,0.0,US,1706545255
115,klyuchi,52.2667,79.1667,-19.03,98,26,2.89,RU,1706545255
116,yeppoon,-23.1333,150.7333,27.88,91,100,2.45,AU,1706545255
117,minas de marcona,-15.2119,-75.1103,24.0,58,97,5.35,PE,1706545255
118,papatowai,-46.5619,169.4708,12.34,85,92,2.92,NZ,1706545255
119,fort wayne,41.1306,-85.1289,1.14,86,100,3.6,US,1706545255
120,qui nhon,13.7667,109.2333,20.84,89,100,3.45,VN,1706545256
121,happy valley-goose bay,53.3168,-60.3315,-21.83,41,0,4.12,CA,1706545256
122,ulanhot,46.0833,122.0833,-20.54,79,89,0.8,CN,1706545256
123,monrovia,6.3005,-10.7969,32.87,67,24,5.73,LR,1706545256
124,dikhil,11.5,42.1667,25.57,63,66,3.3,DJ,1706545256
125,pitkyaranta,61.5734,31.4792,1.4,86,94,6.32,RU,1706545256
126,yermolayevo,52.7167,55.8,-17.45,99,32,0.91,RU,1706545256
127,georgetown,5.4112,100.3354,28.97,81,20,2.57,MY,1706545256
128,muromtsevo,56.3724,75.2418,-11.56,97,100,1.72,RU,1706545257
129,genhe,50.7833,121.5167,-37.06,100,79,0.35,CN,1706545257
130,nakhon thai,17.1006,100.8374,21.69,86,70,1.22,TH,1706545257
131,tralee,52.2704,-9.7026,8.14,71,20,3.6,IE,1706545257
132,timbuktu,16.7735,-3.0074,30.25,8,1,3.71,ML,1706545257
133,chibougamau,49.9168,-74.3659,-14.21,72,0,2.06,CA,1706545257
134,arteche,12.2645,125.4048,24.89,84,100,6.36,PH,1706545257
135,iskateley,67.6803,53.1512,-8.32,92,100,8.49,RU,1706545257
136,villaquilambre,42.6469,-5.5584,14.09,85,0,1.54,ES,1706545258
137,saipan,15.1355,145.701,24.39,73,40,6.17,MP,1706545258
138,tiksi,71.6872,128.8694,-23.37,97,98,3.32,RU,1706545258
139,kulhudhuffushi,6.6221,73.07,27.55,67,6,4.31,MV,1706545258
140,afaahiti,-17.75,-149.2833,25.93,78,100,1.94,PF,1706545258
141,nang rong,14.6377,102.7914,24.94,53,76,2.6,TH,1706545258
142,nova sintra,14.8667,-24.7167,22.01,60,24,7.56,CV,1706545258
143,west island,-12.1568,96.8225,25.99,73,10,2.57,CC,1706545259
144,kirakira,-10.4544,161.9205,25.87,92,99,4.52,SB,1706545259
145,salalah,17.0151,54.0924,26.05,65,20,2.06,OM,1706545259
146,darnah,32.767,22.6367,12.25,58,82,9.49,LY,1706545259
147,dudinka,69.4058,86.1778,-14.1,83,100,8.05,RU,1706545259
148,pisco,-13.7,-76.2167,27.23,69,0,5.14,PE,1706545259
149,quellon,-43.1167,-73.6167,15.78,62,2,4.17,CL,1706545259
150,susuman,62.7833,148.1667,-37.79,97,100,0.45,RU,1706545260
151,aripuana,-9.1667,-60.6333,27.53,73,100,0.88,BR,1706545260
152,mount gambier,-37.8333,140.7667,11.86,93,5,2.47,AU,1706545154
153,fale old settlement,-9.3852,-171.2468,28.81,73,96,1.69,TK,1706545260
154,chonchi,-42.6128,-73.8092,19.56,39,18,1.25,CL,1706545260
155,new norfolk,-42.7826,147.0587,10.95,97,11,1.3,AU,1706545260
156,crane,31.3974,-102.3501,11.55,47,27,4.45,US,1706545260
157,hoshangabad,22.75,77.7167,19.75,30,91,1.46,IN,1706545260
158,udachny,66.4167,112.4,-22.53,83,99,1.12,RU,1706545260
159,najran,17.4924,44.1277,25.36,54,45,3.15,SA,1706545261
160,ketchikan,55.3422,-131.6461,10.26,81,100,11.32,US,1706545261
161,chimore,-16.9833,-65.1333,28.42,85,82,0.45,BO,1706545261
162,fort st. john,56.2499,-120.8529,2.94,70,75,4.63,CA,1706545256
